127.0.0.1 - - [22/Jul/2017:23:03:20 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:04:34 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:05:57 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:06:32 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:07:00 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:10:08 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:10:39 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:14:49 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:16:40 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:30:41 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:31:27 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:44:33 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:46:04 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:46:33 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2017:23:46:54 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
