127.0.0.1 - - [18/Jul/2017:16:04:04 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:05:05 +0530] "GET /application/ HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:07:58 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:40:56 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:41:37 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:42:41 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [18/Jul/2017:17:00:15 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [18/Jul/2017:17:03:12 +0530] "OPTIONS /application/webapi/schedule HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [18/Jul/2017:17:04:39 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [18/Jul/2017:17:10:47 +0530] "OPTIONS /application/webapi/schedule HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [18/Jul/2017:17:10:48 +0530] "POST /application/webapi/schedule HTTP/1.1" 201 44
0:0:0:0:0:0:0:1 - - [18/Jul/2017:17:10:55 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:17:56:55 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:17:57:26 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:17:59:00 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:17:59:04 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:18:00:03 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:18:09:11 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:18:09:29 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:18:16:05 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:18:17:16 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:18:20:59 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:18:24:47 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:18:25:32 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:18:26:33 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:18:27:34 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:18:28:32 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [18/Jul/2017:18:35:49 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
