127.0.0.1 - - [20/Jul/2017:21:56:33 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Jul/2017:21:58:59 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:21:59:23 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:00:27 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:01:18 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:02:26 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:05:35 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:11:00 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:11:46 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:15:34 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:16:04 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:18:02 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:18:51 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:26:06 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:26:45 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:28:02 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:41:56 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:44:20 +0530] "GET /application/webapi/schedule HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:48:24 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:53:26 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 500 65
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:55:17 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 500 65
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:56:44 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 500 65
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:57:02 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 500 65
0:0:0:0:0:0:0:1 - - [20/Jul/2017:22:59:50 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
