127.0.0.1 - - [24/Jul/2017:17:26:52 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Jul/2017:17:40:47 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:17:41:11 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:17:42:35 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:29:52 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:30:24 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:31:24 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:34:23 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:34:57 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:55:20 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:58:02 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:19:23:16 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:19:23:51 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:19:25:10 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:19:27:13 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:19:27:56 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:19:29:43 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:19:37:25 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:19:43:13 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jul/2017:19:45:42 +0530] "GET /application/webapi/schedule/Task2 HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [24/Jul/2017:19:47:47 +0530] "GET /application/webapi/schedule/Task2 HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [24/Jul/2017:19:48:16 +0530] "GET /application/webapi/schedule/Task2 HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [24/Jul/2017:19:50:45 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
